day,transformer,district,SAIFI
2023-06-03,norc476,Kaneshie,0.0
2023-06-04,95,Achimota,0.0
2023-06-04,norc337,Achimota,2.0
2023-06-05,42,Achimota,0.0
2023-06-05,442,Mampong,1.0
2023-06-05,86,Achimota,0.0
2023-06-05,norc225,Kaneshie,0.0
2023-06-06,36,Achimota,0.0
2023-06-06,435,Mampong,1.0
2023-06-07,214,Dansoman,0.0
2023-06-07,321,Kaneshie,0.0
2023-06-07,412,Mampong,3.541253139875986
2023-06-07,norc606,Achimota,0.0
2023-06-08,327,Kaneshie,0.0
2023-06-09,230,Dansoman,1.0
2023-06-09,301,Kaneshie,0.0
2023-06-09,324,Kaneshie,0.0
2023-06-10,5,Achimota,0.0
2023-06-10,norc606,Achimota,0.0
2023-06-11,322,Kaneshie,0.0
2023-06-11,433,Mampong,0.0
2023-06-11,442,Mampong,1.0
2023-06-11,55,Achimota,0.0
2023-06-12,norc537,Achimota,0.0
2023-06-12,norc833,Achimota,0.0
2023-06-13,419,Mampong,0.0
2023-06-13,86,Achimota,0.0
2023-06-14,323,Kaneshie,0.0
2023-06-14,55,Achimota,0.0
2023-06-14,86,Achimota,0.0
2023-06-14,98,Achimota,0.0
2023-06-14,norc331,Kaneshie,0.0
2023-06-14,norc579,Achimota,0.0
2023-06-15,316,Kaneshie,0.0
2023-06-16,norc930,Achimota,0.0
2023-06-17,205,Dansoman,0.0
2023-06-17,229,Dansoman,0.0
2023-06-17,328,Kaneshie,0.0
2023-06-17,39,Achimota,0.0
2023-06-17,norc923,Achimota,0.0
2023-06-18,31,Achimota,0.0
2023-06-18,74,Achimota,0.0
2023-06-20,29,Achimota,0.0
2023-06-20,75,Achimota,0.0
2023-06-21,423,Mampong,0.0
2023-06-21,7,Achimota,0.3333333333333333
2023-06-22,307,Kaneshie,0.0
2023-06-22,norc146,Dansoman,0.0
2023-06-23,426,Mampong,0.0
2023-06-23,norc537,Achimota,0.0
2023-06-24,222,Dansoman,0.0
2023-06-24,422,Mampong,0.0
2023-06-25,444,Mampong,0.0
2023-06-25,norc392,Kaneshie,0.0
2023-06-26,36,Achimota,0.38971583220568334
2023-06-26,418,Mampong,0.0
2023-06-26,430,Mampong,0.0
2023-06-26,norc337,Achimota,0.0
2023-06-27,323,Kaneshie,0.0
2023-06-27,norc524,Achimota,0.5
2023-06-27,norc532,Achimota,0.0
